time,x,y,yaw,vx,vy,yaw_rate,lat_accel_g,FL,FR,RL,RR
1.98,72.6376,0,0,47.4421,0,0,0,3577.36,3577.36,3936.23,3936.23
1.99,73.1127,0,0,47.5614,0,0,0,3586.94,3586.94,3944.78,3944.78
2,73.5889,0,0,47.6805,0,0,0,3596.54,3596.54,3953.33,3953.33
2.01,74.0664,0,0,47.7995,0,0,0,3606.14,3606.14,3961.9,3961.9
2.02,74.545,0,0,47.9183,0,0,0,3615.76,3615.76,3970.47,3970.47
2.03,75.0224,0,0,47.5835,0,0,0,5472.36,5472.36,2069.61,2069.61
2.04,75.4965,0,0,47.3409,0,0,0,3577.26,3577.26,3921.01,3921.01
2.05,75.9681,0,0,47.0103,0,0,0,5434.44,5434.44,2020.66,2020.66
2.06,76.4364,0,0,46.6822,0,0,0,5413.39,5413.39,1992.44,1992.44
2.07,76.9018,0,0,46.4003,0,0,0,5395.17,5395.17,1968.63,1968.63
2.08,77.364,0,0,46.0766,0,0,0,5374.81,5374.81,1941.02,1941.02
2.09,77.823,0,0,45.7552,0,0,0,5354.81,5354.81,1913.73,1913.73
2.1,78.2788,0,0,45.4361,0,0,0,5335.17,5335.17,1886.75,1886.75
2.11,78.7317,0,0,45.1618,0,0,0,5318.12,5318.12,1863.98,1863.98
2.12,79.1816,0,0,44.8469,0,0,0,5299.11,5299.11,1837.58,1837.58
2.13,79.6285,0,0,44.5761,0,0,0,5282.6,5282.6,1815.29,1815.29
2.14,80.0726,0,0,44.2652,0,0,0,5264.21,5264.21,1789.43,1789.43
2.15,80.5136,0,0,43.9979,0,0,0,3370.14,3370.14,3639.86,3639.86
2.16,80.9518,0,0,43.691,0,0,0,5230.43,5230.43,1742.29,1742.29
2.17,81.3871,0,0,43.3862,0,0,0,5212.94,5212.94,1717.24,1717.24
2.18,81.8196,0,0,43.1239,0,0,0,5197.73,5197.73,1696.11,1696.11
2.19,82.2492,0,0,42.8229,0,0,0,5180.81,5180.81,1671.57,1671.57
2.2,82.6758,0,0,42.5239,0,0,0,5164.2,5164.2,1647.3,1647.3
2.21,83.0994,0,0,42.2269,0,0,0,5147.88,5147.88,1623.29,1623.29
2.22,83.5201,0,0,41.9711,0,0,0,5133.64,5133.64,1603.02,1603.02
2.23,83.9382,0,0,41.6777,0,0,0,5117.85,5117.85,1579.49,1579.49
2.24,84.3534,0,0,41.3862,0,0,0,5102.34,5102.34,1556.2,1556.2
2.25,84.7659,0,0,41.135,0,0,0,5088.79,5088.79,1536.55,1536.55
2.26,85.1757,0,0,40.847,0,0,0,5073.79,5073.79,1513.72,1513.72
2.27,85.5827,0,0,40.5986,0,0,0,5060.66,5060.66,1494.44,1494.44
2.28,85.9871,0,0,40.314,0,0,0,5046.15,5046.15,1472.05,1472.05
2.29,86.3887,0,0,40.0312,0,0,0,5031.9,5031.9,1449.89,1449.89
2.3,86.7878,0,0,39.7871,0,0,0,5019.41,5019.41,1431.18,1431.18
2.31,87.1841,0,0,39.5076,0,0,0,5005.63,5005.63,1409.44,1409.44
2.32,87.5778,0,0,39.3027,0,0,0,4994.96,4994.96,1394.25,1394.25
2.33,87.9693,0,0,39.0261,0,0,0,4981.61,4981.61,1372.89,1372.89
2.34,88.3581,0,0,38.7512,0,0,0,4968.5,4968.5,1351.74,1351.74
2.35,88.7441,0,0,38.478,0,0,0,4955.63,4955.63,1330.81,1330.81
2.36,89.1274,0,0,38.2063,0,0,0,4942.98,4942.98,1310.08,1310.08
2.37,89.5081,0,0,38.0066,0,0,0,3055.83,3055.83,3168.57,3168.57
2.38,89.8866,0,0,37.7378,0,0,0,4920.85,4920.85,1275.21,1275.21
2.39,90.2625,0,0,37.4705,0,0,0,4908.83,4908.83,1255.03,1255.03
2.4,90.6359,0,0,37.2393,0,0,0,4898.19,4898.19,1237.98,1237.98
2.41,91.0069,0,0,36.9749,0,0,0,4886.58,4886.58,1218.16,1218.16
2.42,91.3752,0,0,36.7121,0,0,0,4875.17,4875.17,1198.54,1198.54
2.43,91.7411,0,0,36.4844,0,0,0,4865.06,4865.06,1181.96,1181.96
2.44,92.1045,0,0,36.2243,0,0,0,4854.05,4854.05,1162.68,1162.68
2.45,92.4654,0,0,35.9989,0,0,0,2967.24,2967.24,3019.58,3019.58
