time,x,y,yaw,vx,vy,yaw_rate,lat_accel_g
2.41,105.14,0,0,57.341,0,0,0
2.42,105.714,0,0,57.4459,0,0,0
2.43,106.289,0,0,57.5508,0,0,0
2.44,106.865,0,0,57.6554,0,0,0
2.45,107.442,0,0,57.7599,0,0,0
2.46,108.02,0,0,57.8642,0,0,0
2.47,108.599,0,0,57.9683,0,0,0
2.48,109.179,0,0,58.0723,0,0,0
2.49,109.761,0,0,58.1761,0,0,0
2.5,110.343,0,0,58.2798,0,0,0
2.51,110.926,0,0,58.3833,0,0,0
2.52,111.511,0,0,58.4866,0,0,0
2.53,112.096,0,0,58.5897,0,0,0
2.54,112.683,0,0,58.6927,0,0,0
2.55,113.27,0,0,58.7955,0,0,0
2.56,113.859,0,0,58.8982,0,0,0
2.57,114.448,0,0,59.0007,0,0,0
2.58,115.039,0,0,59.103,0,0,0
2.59,115.63,0,0,59.2051,0,0,0
2.6,116.223,0,0,59.3071,0,0,0
2.61,116.817,0,0,59.4089,0,0,0
2.62,117.411,0,0,59.5106,0,0,0
2.63,118.007,0,0,59.6121,0,0,0
2.64,118.604,0,0,59.7134,0,0,0
2.65,119.201,0,0,59.8145,0,0,0
2.66,119.8,0,0,59.9155,0,0,0
2.67,120.4,0,0,60.0163,0,0,0
2.68,121,0,0,60.117,0,0,0
2.69,121.602,0,0,60.2175,0,0,0
2.7,122.205,0,0,60.3178,0,0,0
2.71,122.809,0,0,60.4179,0,0,0
2.72,123.413,0,0,60.5179,0,0,0
2.73,124.019,0,0,60.6177,0,0,0
2.74,124.626,0,0,60.7174,0,0,0
2.75,125.234,0,0,60.8169,0,0,0
2.76,125.842,0,0,60.9162,0,0,0
2.77,126.452,0,0,61.0153,0,0,0
2.78,127.063,0,0,61.1143,0,0,0
2.79,127.674,0,0,61.2131,0,0,0
2.8,128.287,0,0,61.3118,0,0,0
2.81,128.901,0,0,61.4103,0,0,0
2.82,129.515,0,0,61.5086,0,0,0
2.83,130.131,0,0,61.6067,0,0,0
2.84,130.748,0,0,61.7047,0,0,0
2.85,131.365,0,0,61.8025,0,0,0
2.86,131.984,0,0,61.9002,0,0,0
2.87,132.603,0,0,61.9977,0,0,0
2.88,133.224,0,0,62.095,0,0,0
2.89,133.845,0,0,62.1921,0,0,0
2.9,134.468,0,0,62.2891,0,0,0
2.91,135.091,0,0,62.3859,0,0,0
2.92,135.716,0,0,62.4826,0,0,0
2.93,136.341,0,0,62.5791,0,0,0
2.94,136.967,0,0,62.6754,0,0,0
2.95,137.594,0,0,62.7715,0,0,0
2.96,138.223,0,0,62.8675,0,0,0
2.97,138.852,0,0,62.9633,0,0,0
2.98,139.482,0,0,63.059,0,0,0
2.99,140.113,0,0,63.1545,0,0,0
3,140.745,0,0,63.2498,0,0,0
3.01,141.378,0.000692566,0.000781545,63.3391,0.0758515,0.137967,0.890793
3.02,142.012,0.00262984,0.0027983,63.4288,0.0724946,0.250212,1.6178
3.03,142.647,0.00583398,0.00581247,63.5185,0.00981037,0.340225,2.20291
3.04,143.283,0.0103703,0.00961958,63.608,-0.0957536,0.411209,2.66627
3.05,143.919,0.0163347,0.0140456,63.6966,-0.230753,0.466068,3.02619
